Nombre_Cliente,ID_Asociado,Saldo_Cuenta,Score_DICOM_Simulado,Oferta_Comercial_Asignada,Dias_Desde_Ultima_Clave
Usuario 49,9457X,9857225,507,Cuenta Corriente Premium,178
Usuario 50,4295X,10025979,720,Cuenta Corriente Premium,249
Usuario 51,1135X,3672417,416,Cuenta Corriente Premium,136
Usuario 52,3460X,3592203,701,Cuenta Corriente Premium,76
Usuario 53,8931X,12640487,695,Cuenta Corriente Premium,356
Usuario 54,4001X,3818720,713,Cuenta Corriente Premium,236
Usuario 55,6231X,2779089,479,Cuenta Corriente Premium,374
Usuario 56,5633X,8419815,885,Cuenta Corriente Premium,33
Usuario 57,1385X,5335766,523,Cuenta Corriente Premium,357
Usuario 58,1380X,4677848,827,Cuenta Corriente Premium,133
Usuario 59,3858X,10191197,864,Cuenta Corriente Premium,117
Usuario 60,4952X,3764529,616,Cuenta Corriente Premium,272
Usuario 61,6831X,7062692,547,Cuenta Corriente Premium,227
Usuario 62,8715X,13265795,595,Cuenta Corriente Premium,177
Usuario 63,3349X,1741381,651,Cuenta Corriente Premium,186
Usuario 64,9472X,334561,705,Cuenta Corriente Premium,290
Usuario 65,7062X,7871869,871,Cuenta Corriente Premium,302
Usuario 66,6250X,2223503,783,Cuenta Corriente Premium,310
Usuario 67,5554X,5280969,648,Cuenta Corriente Premium,271
Usuario 68,7923X,741915,699,Cuenta Corriente Premium,373
Usuario 69,4221X,10154350,664,Cuenta Corriente Premium,94
Usuario 70,1954X,922947,709,Cuenta Corriente Premium,202
Usuario 71,3995X,5462837,412,Cuenta Corriente Premium,171
Usuario 72,8266X,4437230,691,Cuenta Corriente Premium,107
Usuario 73,5182X,10877757,868,Cuenta Corriente Premium,199
Usuario 74,8732X,3487048,306,Cuenta Corriente Premium,96
Usuario 75,4876X,11851096,532,Cuenta Corriente Premium,171
Usuario 76,1810X,10589983,701,Cuenta Corriente Premium,340
Usuario 77,2063X,6927784,459,Cuenta Corriente Premium,267
Usuario 78,8863X,9892620,689,Cuenta Corriente Premium,207
Usuario 79,5340X,10323196,498,Cuenta Corriente Premium,172
Usuario 80,4249X,9104430,750,Cuenta Corriente Premium,341
Usuario 81,4455X,11461036,396,Cuenta Corriente Premium,359
Usuario 82,2015X,9727905,351,Cuenta Corriente Premium,265
Usuario 83,3602X,1677652,548,Cuenta Corriente Premium,390
Usuario 84,8156X,6397117,828,Cuenta Corriente Premium,166
Usuario 85,2326X,1708610,861,Cuenta Corriente Premium,334
Usuario 86,4883X,6496888,725,Cuenta Corriente Premium,211
Usuario 87,4316X,3322105,353,Cuenta Corriente Premium,54
Usuario 88,6951X,4294967,882,Cuenta Corriente Premium,96
Usuario 89,9307X,13729679,692,Cuenta Corriente Premium,165
Usuario 90,2237X,402737,585,Cuenta Corriente Premium,198
Usuario 91,2777X,14573323,887,Cuenta Corriente Premium,151
Usuario 92,4574X,11257259,308,Cuenta Corriente Premium,236
Usuario 93,4675X,11069425,308,Cuenta Corriente Premium,17
Usuario 94,7813X,9449102,754,Cuenta Corriente Premium,162
Usuario 95,3977X,4150948,704,Cuenta Corriente Premium,272
Usuario 96,4868X,1230861,632,Cuenta Corriente Premium,188
Usuario 97,9041X,2135796,638,Cuenta Corriente Premium,269
Usuario 98,6863X,4079515,445,Cuenta Corriente Premium,229
Usuario 99,7446X,10136350,783,Cuenta Corriente Premium,224
Usuario 100,5608X,2791924,681,Cuenta Corriente Premium,60
Usuario 101,7922X,14345403,500,Cuenta Corriente Premium,325
Usuario 102,3282X,4214328,412,Cuenta Corriente Premium,309
Usuario 103,5195X,4307730,502,Cuenta Corriente Premium,214
Usuario 104,1542X,9466430,386,Cuenta Corriente Premium,344
Usuario 105,6520X,13484576,745,Cuenta Corriente Premium,369
Usuario 106,5931X,9071879,870,Cuenta Corriente Premium,285
Usuario 107,4800X,3648742,855,Cuenta Corriente Premium,321
Usuario 108,8706X,220191,867,Cuenta Corriente Premium,324
Usuario 109,2084X,12527213,395,Cuenta Corriente Premium,177
Usuario 110,2700X,13556296,543,Cuenta Corriente Premium,322
Usuario 111,8800X,327242,670,Cuenta Corriente Premium,342
Usuario 112,8200X,4081238,600,Cuenta Corriente Premium,171
Usuario 113,1312X,13381877,641,Cuenta Corriente Premium,395
Usuario 114,4291X,8323867,885,Cuenta Corriente Premium,103
Usuario 115,6860X,9217458,671,Cuenta Corriente Premium,172
Usuario 116,3975X,4794795,736,Cuenta Corriente Premium,107
Usuario 117,7487X,13946465,811,Cuenta Corriente Premium,10
Usuario 118,3358X,10427864,857,Cuenta Corriente Premium,66
Usuario 119,9973X,10745910,811,Cuenta Corriente Premium,118
Usuario 120,9080X,4919633,577,Cuenta Corriente Premium,320
Usuario 121,2290X,13365785,555,Cuenta Corriente Premium,124
Usuario 122,9648X,12706770,787,Cuenta Corriente Premium,291
Usuario 123,2567X,3183280,803,Cuenta Corriente Premium,88
Usuario 124,8892X,13256336,765,Cuenta Corriente Premium,377
Usuario 125,2997X,11304292,661,Cuenta Corriente Premium,245
Usuario 126,5265X,12362173,848,Cuenta Corriente Premium,363
Usuario 127,3377X,8656841,625,Cuenta Corriente Premium,258
Usuario 128,2862X,12540493,594,Cuenta Corriente Premium,111
Usuario 129,8420X,1863793,817,Cuenta Corriente Premium,66
Usuario 130,3633X,8502358,647,Cuenta Corriente Premium,113
Usuario 131,9352X,1104527,828,Cuenta Corriente Premium,139
Usuario 132,5643X,9867674,794,Cuenta Corriente Premium,83
Usuario 133,4159X,4087064,722,Cuenta Corriente Premium,91
Usuario 134,9125X,10839857,734,Cuenta Corriente Premium,267
Usuario 135,9437X,8801092,602,Cuenta Corriente Premium,26
Usuario 136,8026X,11972033,861,Cuenta Corriente Premium,252
Usuario 137,2537X,6010119,821,Cuenta Corriente Premium,321
Usuario 138,2121X,6702127,508,Cuenta Corriente Premium,375
Usuario 139,2826X,7151155,671,Cuenta Corriente Premium,388
Usuario 140,7576X,6283933,581,Cuenta Corriente Premium,136
Usuario 141,3104X,3823590,403,Cuenta Corriente Premium,271
Usuario 142,2793X,10302998,693,Cuenta Corriente Premium,232
Usuario 143,4677X,6326553,717,Cuenta Corriente Premium,344
Usuario 144,1561X,422121,502,Cuenta Corriente Premium,339
Usuario 145,2008X,13681403,348,Cuenta Corriente Premium,58
Usuario 146,1901X,14774079,545,Cuenta Corriente Premium,263
Usuario 147,1649X,7267906,873,Cuenta Corriente Premium,142
Usuario 148,4892X,2130314,709,Cuenta Corriente Premium,172
Usuario 149,7796X,14689791,508,Cuenta Corriente Premium,161
Usuario 150,1615X,10472064,497,Cuenta Corriente Premium,80
Usuario 151,6439X,9479090,694,Cuenta Corriente Premium,36
Usuario 152,2362X,10369004,313,Cuenta Corriente Premium,120
Usuario 153,3001X,11027855,620,Cuenta Corriente Premium,94
Usuario 154,2845X,8128780,366,Cuenta Corriente Premium,11
Usuario 155,3941X,13871861,331,Cuenta Corriente Premium,75
Usuario 156,4688X,7550629,387,Cuenta Corriente Premium,339
Usuario 157,3166X,9694435,451,Cuenta Corriente Premium,341
Usuario 158,8978X,5111282,399,Cuenta Corriente Premium,190
Usuario 159,6976X,1372745,818,Cuenta Corriente Premium,296
Usuario 160,7702X,10038596,861,Cuenta Corriente Premium,207
Usuario 161,2952X,10248842,315,Cuenta Corriente Premium,104
Usuario 162,8296X,8844666,715,Cuenta Corriente Premium,84
Usuario 163,3686X,11723212,402,Cuenta Corriente Premium,75
Usuario 164,9503X,6037106,472,Cuenta Corriente Premium,262
Usuario 165,4154X,2028354,769,Cuenta Corriente Premium,161
Usuario 166,1257X,11312398,450,Cuenta Corriente Premium,348
Usuario 167,3483X,9167890,532,Cuenta Corriente Premium,263
Usuario 168,9717X,2229036,593,Cuenta Corriente Premium,46
Usuario 169,7049X,8780442,377,Cuenta Corriente Premium,190
Usuario 170,2730X,6697717,417,Cuenta Corriente Premium,226
Usuario 171,5241X,13806307,534,Cuenta Corriente Premium,224
Usuario 172,7122X,9620746,518,Cuenta Corriente Premium,228
Usuario 173,6968X,5640371,706,Cuenta Corriente Premium,148
Usuario 174,9895X,3175041,330,Cuenta Corriente Premium,288
Usuario 175,9092X,14232423,701,Cuenta Corriente Premium,335
Usuario 176,4964X,12894690,353,Cuenta Corriente Premium,231
Usuario 177,9605X,10051008,869,Cuenta Corriente Premium,369
Usuario 178,4330X,917436,666,Cuenta Corriente Premium,214
Usuario 179,9968X,13611827,833,Cuenta Corriente Premium,323
Usuario 180,1132X,11361297,489,Cuenta Corriente Premium,351
Usuario 181,6611X,5256279,300,Cuenta Corriente Premium,131
Usuario 182,9154X,4910070,750,Cuenta Corriente Premium,276
Usuario 183,8498X,3078287,875,Cuenta Corriente Premium,1
Usuario 184,8875X,6619901,398,Cuenta Corriente Premium,136
Usuario 185,6291X,9377876,850,Cuenta Corriente Premium,370
Usuario 186,7489X,7098748,438,Cuenta Corriente Premium,344
Usuario 187,9785X,14512594,816,Cuenta Corriente Premium,49
Usuario 188,1083X,9204262,624,Cuenta Corriente Premium,393
Usuario 189,3350X,5797209,884,Cuenta Corriente Premium,296
Usuario 190,9805X,11980599,716,Cuenta Corriente Premium,258
Usuario 191,1074X,14124057,615,Cuenta Corriente Premium,259
Usuario 192,2722X,844669,680,Cuenta Corriente Premium,341
Usuario 193,7554X,10174161,751,Cuenta Corriente Premium,189
Usuario 194,7385X,3934944,887,Cuenta Corriente Premium,185
Usuario 195,4830X,1423551,500,Cuenta Corriente Premium,119
Usuario 196,6671X,10480558,372,Cuenta Corriente Premium,80
Usuario 197,4734X,8471001,374,Cuenta Corriente Premium,69
Usuario 198,8599X,10987095,350,Cuenta Corriente Premium,123
Usuario 199,3242X,6775542,758,Cuenta Corriente Premium,125
Usuario 200,3169X,3369260,618,Cuenta Corriente Premium,4
Usuario 201,7096X,6543100,340,Cuenta Corriente Premium,355
Usuario 202,4046X,6076095,330,Cuenta Corriente Premium,114
Usuario 203,9734X,6076045,314,Cuenta Corriente Premium,321
Usuario 204,1975X,119058,373,Cuenta Corriente Premium,106
Usuario 205,2037X,13485803,537,Cuenta Corriente Premium,123
Usuario 206,4146X,9308984,658,Cuenta Corriente Premium,340
Usuario 207,5584X,4930346,784,Cuenta Corriente Premium,86
Usuario 208,5591X,14167126,718,Cuenta Corriente Premium,68
Usuario 209,4815X,7698558,744,Cuenta Corriente Premium,83
Usuario 210,8663X,8634879,618,Cuenta Corriente Premium,290
Usuario 211,3411X,10292634,458,Cuenta Corriente Premium,123
Usuario 212,4267X,5574708,715,Cuenta Corriente Premium,365
Usuario 213,7522X,6716476,725,Cuenta Corriente Premium,322
Usuario 214,7170X,13080201,724,Cuenta Corriente Premium,15
Usuario 215,7186X,7757071,849,Cuenta Corriente Premium,302
Usuario 216,1183X,10420320,559,Cuenta Corriente Premium,288
Usuario 217,7142X,6207665,445,Cuenta Corriente Premium,214
Usuario 218,3667X,9220301,579,Cuenta Corriente Premium,222
Usuario 219,7730X,5216271,328,Cuenta Corriente Premium,26
Usuario 220,4501X,14809078,599,Cuenta Corriente Premium,70
Usuario 221,4681X,2308957,669,Cuenta Corriente Premium,239
Usuario 222,4313X,14887941,425,Cuenta Corriente Premium,215
Usuario 223,3745X,2098922,384,Cuenta Corriente Premium,90
Usuario 224,3345X,10979477,433,Cuenta Corriente Premium,229
Usuario 225,7512X,10556088,881,Cuenta Corriente Premium,104
Usuario 226,5208X,234065,824,Cuenta Corriente Premium,238
Usuario 227,7579X,11907112,453,Cuenta Corriente Premium,304
Usuario 228,5907X,13978459,894,Cuenta Corriente Premium,111
Usuario 229,1754X,5227108,774,Cuenta Corriente Premium,376
Usuario 230,8641X,3685428,511,Cuenta Corriente Premium,309
Usuario 231,3545X,12352289,721,Cuenta Corriente Premium,305
Usuario 232,5606X,13021170,764,Cuenta Corriente Premium,65
Usuario 233,5136X,4545740,777,Cuenta Corriente Premium,369
Usuario 234,7529X,13668676,488,Cuenta Corriente Premium,61
Usuario 235,2043X,5376496,823,Cuenta Corriente Premium,42
Usuario 236,4494X,11440607,801,Cuenta Corriente Premium,327
Usuario 237,6084X,12405197,526,Cuenta Corriente Premium,263
Usuario 238,6103X,7054932,766,Cuenta Corriente Premium,118
Usuario 239,1053X,12693113,651,Cuenta Corriente Premium,123
Usuario 240,6080X,3587159,615,Cuenta Corriente Premium,358
Usuario 241,4420X,910918,476,Cuenta Corriente Premium,274
Usuario 242,7925X,11324777,842,Cuenta Corriente Premium,91
Usuario 243,5518X,9565953,326,Cuenta Corriente Premium,174
Usuario 244,2598X,403239,645,Cuenta Corriente Premium,93
Usuario 245,1976X,3227551,608,Cuenta Corriente Premium,238
Usuario 246,5139X,805270,723,Cuenta Corriente Premium,258
Usuario 247,1930X,13611722,547,Cuenta Corriente Premium,277
Usuario 248,9877X,614576,402,Cuenta Corriente Premium,150
Usuario 249,5078X,8956950,885,Cuenta Corriente Premium,35
Usuario 250,5585X,2846888,520,Cuenta Corriente Premium,372
Usuario 251,5292X,6960947,833,Cuenta Corriente Premium,370
Usuario 252,3266X,3829235,369,Cuenta Corriente Premium,182
Usuario 253,4258X,8741744,580,Cuenta Corriente Premium,298
Usuario 254,8341X,6021367,359,Cuenta Corriente Premium,166
Usuario 255,5768X,865070,872,Cuenta Corriente Premium,295
Usuario 256,6238X,11251475,748,Cuenta Corriente Premium,311
Usuario 257,8424X,1077614,761,Cuenta Corriente Premium,341
Usuario 258,6944X,4601863,876,Cuenta Corriente Premium,179
Usuario 259,5409X,7356719,778,Cuenta Corriente Premium,141
Usuario 260,8192X,504316,463,Cuenta Corriente Premium,34
Usuario 261,4558X,2534514,497,Cuenta Corriente Premium,351
Usuario 262,3489X,230167,501,Cuenta Corriente Premium,289
Usuario 263,9509X,2650539,867,Cuenta Corriente Premium,305
Usuario 264,9057X,14811530,412,Cuenta Corriente Premium,374
Usuario 265,2074X,7368469,521,Cuenta Corriente Premium,334
Usuario 266,2427X,1442544,591,Cuenta Corriente Premium,56
Usuario 267,3039X,11331135,315,Cuenta Corriente Premium,312
Usuario 268,6184X,1129780,691,Cuenta Corriente Premium,222
Usuario 269,7414X,6232264,715,Cuenta Corriente Premium,112
Usuario 270,1791X,9969490,308,Cuenta Corriente Premium,22
Usuario 271,1974X,8439643,335,Cuenta Corriente Premium,171
Usuario 272,2681X,9587262,422,Cuenta Corriente Premium,240
Usuario 273,1242X,247047,675,Cuenta Corriente Premium,18
Usuario 274,4954X,2069965,802,Cuenta Corriente Premium,92
Usuario 275,2041X,9577312,878,Cuenta Corriente Premium,205
Usuario 276,1995X,2742823,387,Cuenta Corriente Premium,284
Usuario 277,1155X,6956958,709,Cuenta Corriente Premium,19
Usuario 278,3742X,3593740,425,Cuenta Corriente Premium,11
Usuario 279,4129X,3166636,588,Cuenta Corriente Premium,213
Usuario 280,9865X,12012637,559,Cuenta Corriente Premium,275
Usuario 281,5880X,12938425,859,Cuenta Corriente Premium,116
Usuario 282,7186X,581618,785,Cuenta Corriente Premium,83
Usuario 283,2532X,440797,496,Cuenta Corriente Premium,189
Usuario 284,7864X,10934993,611,Cuenta Corriente Premium,146
Usuario 285,6649X,2703235,594,Cuenta Corriente Premium,298
Usuario 286,9325X,10567139,474,Cuenta Corriente Premium,279
Usuario 287,4019X,1000338,819,Cuenta Corriente Premium,134
Usuario 288,9627X,13433921,431,Cuenta Corriente Premium,244
Usuario 289,4052X,846952,871,Cuenta Corriente Premium,307
Usuario 290,4792X,10730190,312,Cuenta Corriente Premium,156
Usuario 291,3137X,3608137,673,Cuenta Corriente Premium,243
Usuario 292,5647X,13946358,869,Cuenta Corriente Premium,117
Usuario 293,4379X,7180670,417,Cuenta Corriente Premium,337
Usuario 294,9765X,2117453,800,Cuenta Corriente Premium,390
Usuario 295,7837X,5920004,605,Cuenta Corriente Premium,58
Usuario 296,2537X,12913425,788,Cuenta Corriente Premium,54
Usuario 297,4699X,14381308,681,Cuenta Corriente Premium,242
Usuario 298,2283X,7866222,303,Cuenta Corriente Premium,320
Usuario 299,4420X,6161622,568,Cuenta Corriente Premium,371
Usuario 300,6326X,5581066,827,Cuenta Corriente Premium,181
Usuario 301,2188X,3028790,649,Cuenta Corriente Premium,183
Usuario 302,6886X,14473150,785,Cuenta Corriente Premium,282
Usuario 303,5367X,784594,353,Cuenta Corriente Premium,214
Usuario 304,7876X,11837922,663,Cuenta Corriente Premium,309
Usuario 305,4957X,11186065,658,Cuenta Corriente Premium,364
Usuario 306,1631X,939349,717,Cuenta Corriente Premium,296
Usuario 307,9899X,3474826,789,Cuenta Corriente Premium,70
Usuario 308,5583X,4629512,529,Cuenta Corriente Premium,83
Usuario 309,4656X,2556577,630,Cuenta Corriente Premium,4
Usuario 310,9199X,14448622,522,Cuenta Corriente Premium,146
Usuario 311,7672X,2731813,654,Cuenta Corriente Premium,193
Usuario 312,2649X,2990872,341,Cuenta Corriente Premium,282
Usuario 313,9552X,5494050,417,Cuenta Corriente Premium,115
Usuario 314,9112X,5483608,469,Cuenta Corriente Premium,26
Usuario 315,3401X,13726042,436,Cuenta Corriente Premium,130
Usuario 316,4804X,2321338,584,Cuenta Corriente Premium,395
Usuario 317,1268X,14364934,509,Cuenta Corriente Premium,103
Usuario 318,3086X,3588625,510,Cuenta Corriente Premium,111
Usuario 319,7793X,158359,522,Cuenta Corriente Premium,60
Usuario 320,2601X,206289,723,Cuenta Corriente Premium,395
Usuario 321,6033X,2853743,845,Cuenta Corriente Premium,8
Usuario 322,9273X,14407306,744,Cuenta Corriente Premium,359
Usuario 323,4675X,1295599,572,Cuenta Corriente Premium,323
Usuario 324,7476X,5893065,363,Cuenta Corriente Premium,273
Usuario 325,9141X,11352909,495,Cuenta Corriente Premium,347
Usuario 326,2146X,14995547,449,Cuenta Corriente Premium,309
Usuario 327,4433X,13266689,537,Cuenta Corriente Premium,343
Usuario 328,3080X,6160473,436,Cuenta Corriente Premium,245
Usuario 329,2569X,4412793,509,Cuenta Corriente Premium,166
Usuario 330,7766X,5833781,496,Cuenta Corriente Premium,69
Usuario 331,5495X,12687017,615,Cuenta Corriente Premium,247
Usuario 332,3392X,9177414,753,Cuenta Corriente Premium,337
Usuario 333,5956X,93851,583,Cuenta Corriente Premium,235
Usuario 334,2838X,8198580,456,Cuenta Corriente Premium,106
Usuario 335,3032X,9985523,526,Cuenta Corriente Premium,240
Usuario 336,9828X,14096223,443,Cuenta Corriente Premium,174
Usuario 337,4628X,11599881,513,Cuenta Corriente Premium,252
Usuario 338,7447X,14787503,759,Cuenta Corriente Premium,312
Usuario 339,7944X,5825627,742,Cuenta Corriente Premium,324
Usuario 340,7563X,1879528,682,Cuenta Corriente Premium,49
Usuario 341,5521X,4174416,817,Cuenta Corriente Premium,370
Usuario 342,2400X,13898925,482,Cuenta Corriente Premium,378
Usuario 343,1278X,6768150,451,Cuenta Corriente Premium,300
Usuario 344,3789X,7318764,464,Cuenta Corriente Premium,131
Usuario 345,8524X,5469733,770,Cuenta Corriente Premium,243
Usuario 346,9769X,11658032,879,Cuenta Corriente Premium,228
Usuario 347,2751X,8972021,398,Cuenta Corriente Premium,113
Usuario 348,7404X,2640297,850,Cuenta Corriente Premium,169
Usuario 349,5230X,12484290,732,Cuenta Corriente Premium,142
Usuario 350,4677X,7900639,487,Cuenta Corriente Premium,322
Usuario 351,7178X,8848611,842,Cuenta Corriente Premium,1
Usuario 352,1220X,7225919,686,Cuenta Corriente Premium,94
Usuario 353,4351X,2406200,543,Cuenta Corriente Premium,8
Usuario 354,6491X,10943377,643,Cuenta Corriente Premium,182
Usuario 355,6238X,367349,735,Cuenta Corriente Premium,124
Usuario 356,7652X,12339175,703,Cuenta Corriente Premium,37
Usuario 357,8317X,13794660,504,Cuenta Corriente Premium,273
Usuario 358,8698X,3451173,785,Cuenta Corriente Premium,70
Usuario 359,1795X,12022344,450,Cuenta Corriente Premium,330
Usuario 360,7581X,10976623,317,Cuenta Corriente Premium,299
Usuario 361,8093X,13604356,305,Cuenta Corriente Premium,34
Usuario 362,8649X,4200115,309,Cuenta Corriente Premium,342
Usuario 363,4762X,9808592,426,Cuenta Corriente Premium,147
Usuario 364,4187X,432253,332,Cuenta Corriente Premium,248
Usuario 365,5502X,13768758,863,Cuenta Corriente Premium,83
Usuario 366,5070X,3321260,327,Cuenta Corriente Premium,219
Usuario 367,2913X,1865810,429,Cuenta Corriente Premium,335
Usuario 368,9207X,2944602,889,Cuenta Corriente Premium,221
Usuario 369,7971X,3302851,524,Cuenta Corriente Premium,6
Usuario 370,4127X,7822679,430,Cuenta Corriente Premium,187
Usuario 371,4742X,8839337,758,Cuenta Corriente Premium,235
Usuario 372,4885X,4423626,476,Cuenta Corriente Premium,100
Usuario 373,4141X,2367988,574,Cuenta Corriente Premium,72
Usuario 374,3166X,12532483,664,Cuenta Corriente Premium,400
Usuario 375,7321X,3200079,530,Cuenta Corriente Premium,255
Usuario 376,8566X,10552322,538,Cuenta Corriente Premium,345
Usuario 377,9443X,9171582,680,Cuenta Corriente Premium,363
Usuario 378,7741X,5339472,825,Cuenta Corriente Premium,180
Usuario 379,7306X,3445065,309,Cuenta Corriente Premium,216
Usuario 380,3072X,8172401,354,Cuenta Corriente Premium,362
Usuario 381,2798X,4308229,581,Cuenta Corriente Premium,381
Usuario 382,7885X,4757004,763,Cuenta Corriente Premium,200
Usuario 383,2271X,10944757,333,Cuenta Corriente Premium,399
Usuario 384,4668X,4502993,459,Cuenta Corriente Premium,78
Usuario 385,9801X,8915555,803,Cuenta Corriente Premium,50
Usuario 386,4955X,1270053,425,Cuenta Corriente Premium,249
Usuario 387,9604X,560262,455,Cuenta Corriente Premium,341
Usuario 388,8766X,12625219,570,Cuenta Corriente Premium,399
Usuario 389,9031X,6085153,725,Cuenta Corriente Premium,62
Usuario 390,3907X,375408,570,Cuenta Corriente Premium,330
Usuario 391,9366X,10074552,506,Cuenta Corriente Premium,207
Usuario 392,3097X,9064781,817,Cuenta Corriente Premium,114
Usuario 393,2009X,9113779,808,Cuenta Corriente Premium,284
Usuario 394,2343X,8716537,828,Cuenta Corriente Premium,75
Usuario 395,4846X,1671597,316,Cuenta Corriente Premium,134
Usuario 396,6142X,4291301,776,Cuenta Corriente Premium,206
Usuario 397,7168X,13477274,832,Cuenta Corriente Premium,300
Usuario 398,5280X,7471525,682,Cuenta Corriente Premium,262
Usuario 399,9181X,5978338,840,Cuenta Corriente Premium,100
Usuario 400,2046X,8777592,845,Cuenta Corriente Premium,103
Usuario 401,9410X,13283884,779,Cuenta Corriente Premium,303
Usuario 402,8897X,2333375,659,Cuenta Corriente Premium,381
Usuario 403,8706X,10462869,462,Cuenta Corriente Premium,369
Usuario 404,4645X,14823433,516,Cuenta Corriente Premium,171
Usuario 405,8127X,12218836,836,Cuenta Corriente Premium,56
Usuario 406,9057X,6483412,442,Cuenta Corriente Premium,37
Usuario 407,6680X,3561637,479,Cuenta Corriente Premium,381
Usuario 408,5265X,122018,302,Cuenta Corriente Premium,339
Usuario 409,3120X,6302354,845,Cuenta Corriente Premium,258
Usuario 410,7128X,14116601,686,Cuenta Corriente Premium,364
Usuario 411,1256X,8767073,531,Cuenta Corriente Premium,141
Usuario 412,9645X,12778773,757,Cuenta Corriente Premium,350
Usuario 413,5712X,4247841,461,Cuenta Corriente Premium,326
Usuario 414,4849X,403185,714,Cuenta Corriente Premium,390
Usuario 415,4522X,13897793,308,Cuenta Corriente Premium,220
Usuario 416,1560X,7560382,436,Cuenta Corriente Premium,244
Usuario 417,5033X,7655264,695,Cuenta Corriente Premium,328
Usuario 418,1781X,6525415,888,Cuenta Corriente Premium,197
Usuario 419,2033X,3603099,722,Cuenta Corriente Premium,263
Usuario 420,1982X,12001333,457,Cuenta Corriente Premium,178
Usuario 421,2247X,8650406,375,Cuenta Corriente Premium,9
Usuario 422,6832X,10892302,647,Cuenta Corriente Premium,394
Usuario 423,5652X,2817080,738,Cuenta Corriente Premium,238
Usuario 424,5822X,14648211,507,Cuenta Corriente Premium,19
Usuario 425,2205X,1793061,512,Cuenta Corriente Premium,217
Usuario 426,8409X,13939870,343,Cuenta Corriente Premium,306
Usuario 427,6959X,4240899,774,Cuenta Corriente Premium,233
Usuario 428,1412X,2441084,813,Cuenta Corriente Premium,226
Usuario 429,7924X,9799192,625,Cuenta Corriente Premium,82
Usuario 430,5011X,8885698,606,Cuenta Corriente Premium,191
Usuario 431,1132X,3995846,483,Cuenta Corriente Premium,144
Usuario 432,3998X,12767490,857,Cuenta Corriente Premium,337
Usuario 433,1537X,11714704,386,Cuenta Corriente Premium,284
