Nombre_Cliente,ID_Asociado,Saldo_Cuenta,Score_DICOM_Simulado,Oferta_Comercial_Asignada,Dias_Desde_Ultima_Clave
Usuario 158,6459X,10383713,394,Cuenta Corriente Premium,319
Usuario 159,7717X,11594795,313,Cuenta Corriente Premium,128
Usuario 160,9072X,163950,888,Cuenta Corriente Premium,328
Usuario 161,1367X,13380002,606,Cuenta Corriente Premium,242
Usuario 162,3388X,9275002,411,Cuenta Corriente Premium,371
Usuario 163,7247X,14756459,321,Cuenta Corriente Premium,201
Usuario 164,4091X,9375782,731,Cuenta Corriente Premium,244
Usuario 165,5176X,5344178,526,Cuenta Corriente Premium,384
Usuario 166,7938X,6721596,465,Cuenta Corriente Premium,202
Usuario 167,7933X,7876911,671,Cuenta Corriente Premium,87
Usuario 168,6888X,5559196,727,Cuenta Corriente Premium,104
Usuario 169,4512X,9311383,557,Cuenta Corriente Premium,17
Usuario 170,1498X,189136,546,Cuenta Corriente Premium,160
Usuario 171,1867X,13115559,337,Cuenta Corriente Premium,388
Usuario 172,1016X,5888378,860,Cuenta Corriente Premium,183
Usuario 173,9752X,1652060,334,Cuenta Corriente Premium,60
Usuario 174,1304X,5377403,762,Cuenta Corriente Premium,277
Usuario 175,8004X,3715137,706,Cuenta Corriente Premium,90
Usuario 176,2091X,10256717,679,Cuenta Corriente Premium,313
Usuario 177,6853X,7058331,413,Cuenta Corriente Premium,90
Usuario 178,8741X,6466540,440,Cuenta Corriente Premium,46
Usuario 179,8454X,404788,890,Cuenta Corriente Premium,45
Usuario 180,7601X,4184537,717,Cuenta Corriente Premium,337
Usuario 181,7725X,12860220,626,Cuenta Corriente Premium,168
Usuario 182,6220X,13851785,441,Cuenta Corriente Premium,339
Usuario 183,6514X,1456364,346,Cuenta Corriente Premium,45
Usuario 184,8461X,6860493,852,Cuenta Corriente Premium,186
Usuario 185,5758X,7279530,651,Cuenta Corriente Premium,146
Usuario 186,6576X,889460,586,Cuenta Corriente Premium,90
Usuario 187,9027X,12403367,433,Cuenta Corriente Premium,182
Usuario 188,5230X,13450754,381,Cuenta Corriente Premium,259
Usuario 189,9861X,14351659,566,Cuenta Corriente Premium,114
Usuario 190,1150X,7721424,707,Cuenta Corriente Premium,209
Usuario 191,4489X,10906425,599,Cuenta Corriente Premium,385
Usuario 192,6077X,12381087,790,Cuenta Corriente Premium,99
Usuario 193,7150X,4770480,537,Cuenta Corriente Premium,258
Usuario 194,8637X,3464171,719,Cuenta Corriente Premium,45
Usuario 195,3398X,740807,759,Cuenta Corriente Premium,212
Usuario 196,5954X,11731896,830,Cuenta Corriente Premium,7
Usuario 197,6868X,7557922,643,Cuenta Corriente Premium,323
Usuario 198,5205X,6491679,845,Cuenta Corriente Premium,223
Usuario 199,5595X,11614362,717,Cuenta Corriente Premium,330
Usuario 200,3857X,6928316,586,Cuenta Corriente Premium,10
Usuario 201,5701X,5948257,345,Cuenta Corriente Premium,244
Usuario 202,3642X,14385235,844,Cuenta Corriente Premium,367
Usuario 203,8088X,9107489,558,Cuenta Corriente Premium,33
Usuario 204,5621X,4136797,318,Cuenta Corriente Premium,171
Usuario 205,9839X,7845906,430,Cuenta Corriente Premium,183
Usuario 206,5166X,14981943,693,Cuenta Corriente Premium,392
Usuario 207,4678X,3028760,632,Cuenta Corriente Premium,26
Usuario 208,2480X,7892034,625,Cuenta Corriente Premium,306
Usuario 209,9157X,3561086,315,Cuenta Corriente Premium,204
Usuario 210,7437X,4126093,480,Cuenta Corriente Premium,377
Usuario 211,7848X,12332785,484,Cuenta Corriente Premium,80
Usuario 212,9600X,7404732,359,Cuenta Corriente Premium,349
Usuario 213,3545X,9949027,845,Cuenta Corriente Premium,233
Usuario 214,8548X,11295681,508,Cuenta Corriente Premium,237
Usuario 215,4983X,2191982,501,Cuenta Corriente Premium,141
Usuario 216,9864X,5532035,764,Cuenta Corriente Premium,219
Usuario 217,6868X,10268983,417,Cuenta Corriente Premium,349
Usuario 218,4789X,8142210,553,Cuenta Corriente Premium,123
Usuario 219,3228X,9638749,827,Cuenta Corriente Premium,301
Usuario 220,4139X,1091569,603,Cuenta Corriente Premium,310
Usuario 221,9067X,14599876,719,Cuenta Corriente Premium,247
Usuario 222,2092X,9566207,895,Cuenta Corriente Premium,287
Usuario 223,5848X,6539715,558,Cuenta Corriente Premium,35
Usuario 224,2020X,9411530,535,Cuenta Corriente Premium,149
Usuario 225,4873X,2955665,396,Cuenta Corriente Premium,90
Usuario 226,9135X,5797674,657,Cuenta Corriente Premium,135
Usuario 227,6346X,10907379,614,Cuenta Corriente Premium,72
Usuario 228,5752X,10496852,638,Cuenta Corriente Premium,222
Usuario 229,8601X,10326620,529,Cuenta Corriente Premium,6
Usuario 230,6173X,10096964,890,Cuenta Corriente Premium,103
Usuario 231,4105X,9028245,709,Cuenta Corriente Premium,84
Usuario 232,3983X,10607106,498,Cuenta Corriente Premium,288
Usuario 233,3843X,1316300,389,Cuenta Corriente Premium,188
Usuario 234,5219X,9184312,805,Cuenta Corriente Premium,133
Usuario 235,1633X,2912489,886,Cuenta Corriente Premium,71
Usuario 236,3079X,1180282,521,Cuenta Corriente Premium,7
Usuario 237,5432X,8968233,431,Cuenta Corriente Premium,400
Usuario 238,6069X,90682,783,Cuenta Corriente Premium,175
Usuario 239,5792X,5290019,761,Cuenta Corriente Premium,99
Usuario 240,3239X,9607046,883,Cuenta Corriente Premium,116
Usuario 241,7951X,3788765,383,Cuenta Corriente Premium,217
Usuario 242,6458X,1604812,620,Cuenta Corriente Premium,137
Usuario 243,7660X,2657890,806,Cuenta Corriente Premium,249
Usuario 244,2399X,12010968,867,Cuenta Corriente Premium,373
Usuario 245,6755X,4822156,391,Cuenta Corriente Premium,343
Usuario 246,6474X,13326452,459,Cuenta Corriente Premium,176
Usuario 247,6260X,11466309,475,Cuenta Corriente Premium,225
Usuario 248,4498X,1490863,485,Cuenta Corriente Premium,120
Usuario 249,7124X,8901317,601,Cuenta Corriente Premium,297
Usuario 250,5927X,4998211,307,Cuenta Corriente Premium,144
Usuario 251,2643X,12004895,615,Cuenta Corriente Premium,103
Usuario 252,3177X,8455482,834,Cuenta Corriente Premium,259
Usuario 253,8464X,12654858,767,Cuenta Corriente Premium,5
Usuario 254,5854X,6399693,674,Cuenta Corriente Premium,373
Usuario 255,2596X,8251890,636,Cuenta Corriente Premium,67
Usuario 256,6325X,13295034,728,Cuenta Corriente Premium,382
Usuario 257,5664X,5387613,665,Cuenta Corriente Premium,370
Usuario 258,5166X,8891907,715,Cuenta Corriente Premium,379
Usuario 259,6588X,13406212,653,Cuenta Corriente Premium,283
Usuario 260,8971X,6679772,634,Cuenta Corriente Premium,327
Usuario 261,1353X,13936138,668,Cuenta Corriente Premium,377
Usuario 262,9434X,12604425,339,Cuenta Corriente Premium,21
Usuario 263,5366X,8778472,482,Cuenta Corriente Premium,107
Usuario 264,2559X,4956442,503,Cuenta Corriente Premium,75
Usuario 265,2830X,1454287,587,Cuenta Corriente Premium,154
Usuario 266,2043X,12547223,557,Cuenta Corriente Premium,97
Usuario 267,1905X,13687019,487,Cuenta Corriente Premium,63
Usuario 268,9072X,10980081,349,Cuenta Corriente Premium,4
Usuario 269,2186X,12881740,345,Cuenta Corriente Premium,65
Usuario 270,1168X,6585785,433,Cuenta Corriente Premium,366
Usuario 271,1677X,5477851,832,Cuenta Corriente Premium,74
Usuario 272,2456X,4678466,777,Cuenta Corriente Premium,122
Usuario 273,2635X,3920276,627,Cuenta Corriente Premium,282
Usuario 274,9902X,10301238,707,Cuenta Corriente Premium,184
Usuario 275,9959X,10828252,439,Cuenta Corriente Premium,376
Usuario 276,5961X,3376397,614,Cuenta Corriente Premium,194
Usuario 277,5569X,1647331,434,Cuenta Corriente Premium,188
Usuario 278,1482X,514034,829,Cuenta Corriente Premium,215
Usuario 279,3489X,1119642,668,Cuenta Corriente Premium,279
Usuario 280,8350X,13007502,865,Cuenta Corriente Premium,116
Usuario 281,5044X,14416863,750,Cuenta Corriente Premium,138
Usuario 282,4937X,1715979,427,Cuenta Corriente Premium,365
Usuario 283,5015X,13396298,808,Cuenta Corriente Premium,250
Usuario 284,4188X,12350924,610,Cuenta Corriente Premium,117
Usuario 285,1540X,12131668,452,Cuenta Corriente Premium,206
Usuario 286,7307X,6196567,735,Cuenta Corriente Premium,384
Usuario 287,6344X,7376489,354,Cuenta Corriente Premium,246
Usuario 288,6472X,8416641,756,Cuenta Corriente Premium,156
Usuario 289,8432X,5070082,768,Cuenta Corriente Premium,36
Usuario 290,8184X,13942083,362,Cuenta Corriente Premium,155
Usuario 291,3923X,9416708,593,Cuenta Corriente Premium,386
Usuario 292,7280X,7224422,613,Cuenta Corriente Premium,338
Usuario 293,9458X,12400195,612,Cuenta Corriente Premium,150
Usuario 294,5016X,5842227,303,Cuenta Corriente Premium,195
Usuario 295,2208X,624629,573,Cuenta Corriente Premium,256
Usuario 296,7472X,9009948,899,Cuenta Corriente Premium,19
Usuario 297,7124X,5872620,779,Cuenta Corriente Premium,110
Usuario 298,6645X,104452,546,Cuenta Corriente Premium,262
Usuario 299,7033X,13567158,338,Cuenta Corriente Premium,47
Usuario 300,7762X,4359456,610,Cuenta Corriente Premium,108
Usuario 301,7956X,155090,661,Cuenta Corriente Premium,111
Usuario 302,5493X,868168,301,Cuenta Corriente Premium,288
Usuario 303,4801X,11994029,728,Cuenta Corriente Premium,159
Usuario 304,1315X,3632514,736,Cuenta Corriente Premium,213
Usuario 305,4513X,11657737,685,Cuenta Corriente Premium,333
Usuario 306,7357X,12124154,731,Cuenta Corriente Premium,295
Usuario 307,5024X,10701224,627,Cuenta Corriente Premium,395
Usuario 308,5820X,9347349,511,Cuenta Corriente Premium,312
Usuario 309,2859X,10077314,700,Cuenta Corriente Premium,398
Usuario 310,3102X,2074204,521,Cuenta Corriente Premium,197
Usuario 311,9108X,5152364,533,Cuenta Corriente Premium,16
Usuario 312,5240X,9445747,328,Cuenta Corriente Premium,392
Usuario 313,1551X,3606835,447,Cuenta Corriente Premium,164
Usuario 314,5475X,9348405,368,Cuenta Corriente Premium,373
Usuario 315,4801X,1893147,582,Cuenta Corriente Premium,87
Usuario 316,8475X,5215373,897,Cuenta Corriente Premium,171
Usuario 317,5541X,6858955,465,Cuenta Corriente Premium,359
Usuario 318,1601X,7247080,715,Cuenta Corriente Premium,157
Usuario 319,3810X,13232411,751,Cuenta Corriente Premium,321
Usuario 320,2033X,8248975,644,Cuenta Corriente Premium,330
Usuario 321,3337X,9045082,483,Cuenta Corriente Premium,343
Usuario 322,3521X,11614482,676,Cuenta Corriente Premium,14
Usuario 323,6796X,4235243,608,Cuenta Corriente Premium,12
Usuario 324,3757X,1473208,511,Cuenta Corriente Premium,271
Usuario 325,2108X,14183844,502,Cuenta Corriente Premium,196
Usuario 326,8476X,9840804,645,Cuenta Corriente Premium,384
Usuario 327,8499X,11805083,826,Cuenta Corriente Premium,163
Usuario 328,1552X,2308532,739,Cuenta Corriente Premium,181
Usuario 329,6787X,9723681,748,Cuenta Corriente Premium,276
Usuario 330,3416X,10698892,551,Cuenta Corriente Premium,104
Usuario 331,5390X,12309651,309,Cuenta Corriente Premium,317
Usuario 332,8816X,13770733,772,Cuenta Corriente Premium,376
Usuario 333,1769X,7651370,633,Cuenta Corriente Premium,253
Usuario 334,9622X,9489449,545,Cuenta Corriente Premium,42
Usuario 335,5601X,13728702,794,Cuenta Corriente Premium,214
Usuario 336,5005X,2446438,558,Cuenta Corriente Premium,12
Usuario 337,3111X,468465,395,Cuenta Corriente Premium,331
Usuario 338,3144X,9725195,555,Cuenta Corriente Premium,173
Usuario 339,5933X,4963662,347,Cuenta Corriente Premium,130
Usuario 340,2360X,2476831,897,Cuenta Corriente Premium,265
Usuario 341,1314X,4049783,492,Cuenta Corriente Premium,298
Usuario 342,2355X,12630243,306,Cuenta Corriente Premium,207
Usuario 343,7221X,9218978,471,Cuenta Corriente Premium,30
Usuario 344,4087X,12532420,676,Cuenta Corriente Premium,190
Usuario 345,2655X,11588755,833,Cuenta Corriente Premium,367
Usuario 346,2045X,10521552,506,Cuenta Corriente Premium,379
Usuario 347,7337X,12199617,886,Cuenta Corriente Premium,21
Usuario 348,9005X,7011652,524,Cuenta Corriente Premium,389
Usuario 349,8261X,7624800,468,Cuenta Corriente Premium,80
Usuario 350,9064X,1488280,582,Cuenta Corriente Premium,370
Usuario 351,9527X,12043659,727,Cuenta Corriente Premium,398
Usuario 352,2437X,9890295,736,Cuenta Corriente Premium,53
Usuario 353,2801X,14107743,834,Cuenta Corriente Premium,313
Usuario 354,2988X,703152,371,Cuenta Corriente Premium,260
Usuario 355,5167X,14464119,647,Cuenta Corriente Premium,310
Usuario 356,8349X,7037951,694,Cuenta Corriente Premium,194
Usuario 357,7044X,12595130,679,Cuenta Corriente Premium,375
Usuario 358,1523X,538089,878,Cuenta Corriente Premium,259
Usuario 359,2007X,1289601,807,Cuenta Corriente Premium,315
Usuario 360,1220X,14389620,471,Cuenta Corriente Premium,341
Usuario 361,3790X,10329621,681,Cuenta Corriente Premium,23
Usuario 362,6349X,7770147,392,Cuenta Corriente Premium,37
Usuario 363,5032X,7182346,833,Cuenta Corriente Premium,70
Usuario 364,8737X,3209681,738,Cuenta Corriente Premium,266
Usuario 365,2692X,12920059,524,Cuenta Corriente Premium,17
Usuario 366,7025X,7646371,524,Cuenta Corriente Premium,26
Usuario 367,8395X,8510458,893,Cuenta Corriente Premium,158
Usuario 368,6248X,2892716,502,Cuenta Corriente Premium,322
Usuario 369,1212X,1091539,608,Cuenta Corriente Premium,259
Usuario 370,6177X,3198394,342,Cuenta Corriente Premium,357
Usuario 371,1413X,407026,558,Cuenta Corriente Premium,285
Usuario 372,5484X,10070953,801,Cuenta Corriente Premium,41
Usuario 373,7080X,12488208,651,Cuenta Corriente Premium,60
Usuario 374,3935X,5506579,417,Cuenta Corriente Premium,156
Usuario 375,3520X,423603,628,Cuenta Corriente Premium,186
Usuario 376,7174X,1217812,469,Cuenta Corriente Premium,66
Usuario 377,4691X,1262615,576,Cuenta Corriente Premium,206
Usuario 378,3201X,7652327,770,Cuenta Corriente Premium,85
Usuario 379,1124X,9916443,583,Cuenta Corriente Premium,9
Usuario 380,4127X,11190705,822,Cuenta Corriente Premium,308
Usuario 381,9407X,13902103,740,Cuenta Corriente Premium,104
Usuario 382,5160X,5321909,453,Cuenta Corriente Premium,339
Usuario 383,3152X,4084562,511,Cuenta Corriente Premium,338
Usuario 384,7422X,8696042,772,Cuenta Corriente Premium,252
Usuario 385,8350X,3029777,306,Cuenta Corriente Premium,284
Usuario 386,6173X,11342580,586,Cuenta Corriente Premium,112
Usuario 387,7858X,14715337,809,Cuenta Corriente Premium,110
Usuario 388,8304X,6181060,851,Cuenta Corriente Premium,93
Usuario 389,3849X,4381084,734,Cuenta Corriente Premium,280
Usuario 390,1974X,7197442,326,Cuenta Corriente Premium,93
Usuario 391,8640X,2998966,791,Cuenta Corriente Premium,141
Usuario 392,4795X,653320,328,Cuenta Corriente Premium,34
Usuario 393,7611X,14997560,659,Cuenta Corriente Premium,25
Usuario 394,6790X,322156,841,Cuenta Corriente Premium,276
Usuario 395,1256X,7410388,637,Cuenta Corriente Premium,180
Usuario 396,3903X,5634223,722,Cuenta Corriente Premium,257
Usuario 397,5651X,8965585,880,Cuenta Corriente Premium,116
Usuario 398,4160X,4139100,619,Cuenta Corriente Premium,216
Usuario 399,9184X,1285706,402,Cuenta Corriente Premium,353
Usuario 400,9949X,9559034,743,Cuenta Corriente Premium,263
Usuario 401,8371X,8717044,551,Cuenta Corriente Premium,182
Usuario 402,8182X,10522489,541,Cuenta Corriente Premium,23
Usuario 403,4056X,13830193,847,Cuenta Corriente Premium,130
Usuario 404,9114X,683983,482,Cuenta Corriente Premium,378
Usuario 405,4418X,10984988,790,Cuenta Corriente Premium,127
Usuario 406,9909X,6239032,813,Cuenta Corriente Premium,115
Usuario 407,8145X,12911278,335,Cuenta Corriente Premium,190
Usuario 408,9932X,7299886,886,Cuenta Corriente Premium,119
Usuario 409,1384X,8268181,861,Cuenta Corriente Premium,125
Usuario 410,1292X,2367213,368,Cuenta Corriente Premium,100
Usuario 411,3565X,11061755,457,Cuenta Corriente Premium,225
Usuario 412,7917X,12596398,749,Cuenta Corriente Premium,59
Usuario 413,8573X,3782455,321,Cuenta Corriente Premium,299
Usuario 414,5749X,1792055,846,Cuenta Corriente Premium,177
Usuario 415,6533X,9725849,738,Cuenta Corriente Premium,150
Usuario 416,1060X,1125791,572,Cuenta Corriente Premium,229
Usuario 417,4330X,7551637,601,Cuenta Corriente Premium,317
Usuario 418,8762X,1253886,619,Cuenta Corriente Premium,366
Usuario 419,9528X,2020997,692,Cuenta Corriente Premium,65
Usuario 420,3279X,8208005,821,Cuenta Corriente Premium,78
Usuario 421,5901X,11480831,550,Cuenta Corriente Premium,399
Usuario 422,2815X,7549351,847,Cuenta Corriente Premium,15
Usuario 423,8642X,3788185,895,Cuenta Corriente Premium,102
Usuario 424,8618X,4855539,601,Cuenta Corriente Premium,254
Usuario 425,7445X,10226996,637,Cuenta Corriente Premium,386
Usuario 426,9123X,10133276,573,Cuenta Corriente Premium,311
Usuario 427,3831X,10004507,558,Cuenta Corriente Premium,132
Usuario 428,3603X,5359655,689,Cuenta Corriente Premium,217
Usuario 429,9570X,3390661,550,Cuenta Corriente Premium,172
Usuario 430,8546X,271786,315,Cuenta Corriente Premium,330
Usuario 431,8561X,10120183,737,Cuenta Corriente Premium,109
Usuario 432,9738X,1413598,435,Cuenta Corriente Premium,162
